# name int_rev debt_gdp usd_reserve_share cbo_deficit xdate sahm tail_risk liq_gap ofr hy_spread dxy_mom oil_price ai_capex lagged_ai geopolitical_risk investor_sentiment infl unemp gdp

managed_norm_1 22 70 65 3 90 0.2 1.2 1.0 0.95 600 5 80 1.0 0.0 0.5 0.4 0.032 0.042 0.025
managed_norm_2 23 72 66 3.2 88 0.18 1.1 1.05 0.96 580 4 82 1.1 1.0 0.45 0.42 0.035 0.038 0.028
managed_norm_3 21 68 64 2.8 92 0.22 1.3 0.98 0.94 620 6 78 0.9 0.8 0.55 0.38 0.029 0.045 0.022

stagflation_1 18 95 60 6 120 0.3 1.1 1.0 0.95 500 8 90 1.2 0.0 0.6 0.5 0.055 0.068 -0.015
stagflation_2 17 98 58 6.5 125 0.32 1.15 1.02 0.96 520 9 92 1.25 1.2 0.62 0.48 0.058 0.072 -0.020
stagflation_3 19 92 62 5.8 115 0.28 1.05 0.97 0.94 480 7 88 1.15 1.0 0.58 0.52 0.052 0.065 -0.010

disorderly_adj_1 15 110 55 8 150 0.4 1.4 0.8 0.9 700 12 100 1.4 0.0 0.7 0.3 0.042 0.082 -0.035
disorderly_adj_2 14 115 53 8.5 155 0.42 1.45 0.78 0.89 720 13 102 1.45 1.4 0.72 0.28 0.046 0.088 -0.040
disorderly_adj_3 16 108 57 7.5 145 0.38 1.35 0.82 0.91 680 11 98 1.35 1.2 0.68 0.32 0.040 0.078 -0.030

shock_today_1 22 125 55 7 120 0.4 1.3 0.9 0.95 480 12 85 3.5 2.8 0.6 0.4 0.038 0.055 0.015
shock_today_2 23 128 54 7.2 118 0.38 1.25 0.92 0.96 500 13 87 3.6 3.0 0.62 0.42 0.041 0.052 0.018
shock_today_3 21 122 56 6.8 122 0.42 1.35 0.88 0.94 460 11 83 3.4 2.6 0.58 0.38 0.036 0.058 0.012

soft_landing_1 25 65 70 2.5 85 0.15 1.0 1.1 0.97 450 3 75 1.2 0.0 0.4 0.55 0.025 0.035 0.032
soft_landing_2 26 63 72 2.3 83 0.14 0.95 1.12 0.98 430 2 73 1.25 1.2 0.38 0.57 0.022 0.032 0.035
soft_landing_3 24 67 68 2.7 87 0.16 1.05 1.08 0.96 470 4 77 1.15 0.9 0.42 0.53 0.028 0.038 0.030

energy_spike_1 20 90 60 4 100 0.25 1.2 0.95 0.93 550 7 110 1.3 0.0 0.65 0.45 0.048 0.062 0.008
energy_spike_2 19 92 59 4.2 98 0.26 1.22 0.96 0.94 560 8 112 1.35 1.3 0.66 0.44 0.052 0.065 0.005
energy_spike_3 21 88 61 3.8 102 0.24 1.18 0.94 0.92 540 6 108 1.28 1.1 0.64 0.46 0.045 0.058 0.010

credit_crunch_1 17 100 58 5 110 0.35 1.3 0.85 0.9 650 10 70 0.8 0.0 0.55 0.35 0.038 0.075 -0.008
credit_crunch_2 16 102 57 5.2 108 0.36 1.32 0.86 0.91 660 11 72 0.85 0.8 0.56 0.34 0.041 0.078 -0.012
credit_crunch_3 18 98 59 4.8 112 0.34 1.28 0.84 0.89 640 9 68 0.75 0.6 0.54 0.36 0.035 0.072 -0.005

liquidity_glut_1 27 60 75 2 80 0.1 0.9 1.2 1.0 400 1 65 1.4 0.0 0.35 0.6 0.018 0.028 0.038
liquidity_glut_2 28 58 76 1.8 78 0.09 0.88 1.22 1.01 380 0 63 1.45 1.4 0.33 0.62 0.015 0.025 0.042
liquidity_glut_3 26 62 74 2.2 82 0.11 0.92 1.18 0.99 420 2 67 1.35 1.1 0.37 0.58 0.020 0.032 0.035
