#US_MARKET_FISCAL_30D REPORT 5/17/2026
#
# name int_rev debt_gdp usd_reserve_share cbo_deficit xdate sahm tail_risk liq_gap ofr hy_spread dxy_mom oil_price ai_capex geopolitical_risk investor_sentiment

day_01 22.10 70.10 65.0 3.05 90 0.20 1.25 1.02 0.96 605 5.1 81 1.02 0.52 0.39
day_02 22.12 70.12 65.0 3.06 90 0.20 1.26 1.02 0.96 606 5.1 81 1.02 0.52 0.39
day_03 22.14 70.15 65.0 3.06 90 0.20 1.27 1.03 0.96 607 5.1 82 1.02 0.52 0.39
day_04 22.16 70.18 65.0 3.07 90 0.20 1.27 1.03 0.97 608 5.2 82 1.03 0.53 0.38
day_05 22.18 70.20 65.0 3.08 90 0.20 1.28 1.04 0.97 612 5.2 83 1.03 0.54 0.38

day_06 22.20 70.25 64.9 3.09 90 0.20 1.29 1.04 0.97 614 5.2 83 1.03 0.54 0.38
day_07 22.22 70.28 64.9 3.10 90 0.20 1.30 1.05 0.98 616 5.3 84 1.04 0.55 0.37
day_08 22.24 70.30 64.9 3.10 90 0.20 1.31 1.05 0.98 618 5.3 84 1.04 0.55 0.37
day_09 22.26 70.32 64.9 3.11 90 0.20 1.31 1.06 0.98 619 5.3 85 1.04 0.56 0.37
day_10 22.50 70.50 64.9 3.12 90 0.20 1.32 1.06 0.98 620 5.3 85 1.05 0.56 0.37

day_11 22.52 70.52 64.9 3.13 90 0.20 1.33 1.07 0.99 622 5.4 86 1.05 0.57 0.36
day_12 22.54 70.55 64.9 3.13 90 0.20 1.34 1.07 0.99 623 5.4 86 1.05 0.57 0.36
day_13 22.56 70.57 64.9 3.14 90 0.20 1.34 1.08 0.99 624 5.4 87 1.06 0.58 0.36
day_14 22.58 70.60 64.9 3.14 90 0.20 1.35 1.08 1.00 626 5.4 87 1.06 0.58 0.36
day_15 22.70 70.70 64.9 3.15 90 0.20 1.36 1.08 1.00 628 5.4 87 1.06 0.58 0.36

day_16 22.72 70.72 64.8 3.16 90 0.20 1.37 1.09 1.00 630 5.5 88 1.06 0.59 0.35
day_17 22.74 70.74 64.8 3.16 90 0.20 1.38 1.09 1.01 631 5.5 88 1.07 0.59 0.35
day_18 22.76 70.76 64.8 3.17 90 0.20 1.38 1.10 1.01 633 5.5 89 1.07 0.60 0.35
day_19 22.78 70.78 64.8 3.17 90 0.20 1.39 1.10 1.01 634 5.5 89 1.07 0.60 0.35
day_20 22.90 70.90 64.8 3.18 90 0.20 1.40 1.10 1.02 635 5.5 89 1.07 0.60 0.35

day_21 22.92 70.92 64.8 3.19 90 0.20 1.41 1.11 1.02 637 5.6 90 1.08 0.61 0.34
day_22 22.94 70.94 64.8 3.19 90 0.20 1.41 1.11 1.02 638 5.6 90 1.08 0.61 0.34
day_23 22.96 70.96 64.8 3.20 90 0.20 1.42 1.12 1.03 639 5.6 91 1.08 0.62 0.34
day_24 22.98 70.98 64.8 3.20 90 0.20 1.42 1.12 1.03 641 5.6 91 1.08 0.62 0.34
day_25 23.10 71.10 64.8 3.20 90 0.20 1.43 1.12 1.03 642 5.6 91 1.08 0.62 0.34

day_26 23.12 71.12 64.7 3.21 90 0.20 1.44 1.13 1.03 644 5.7 92 1.09 0.63 0.33
day_27 23.14 71.14 64.7 3.21 90 0.20 1.44 1.13 1.04 646 5.7 92 1.09 0.63 0.33
day_28 23.16 71.16 64.7 3.22 90 0.20 1.45 1.14 1.04 647 5.7 93 1.10 0.64 0.33
day_29 23.18 71.18 64.7 3.22 90 0.20 1.45 1.14 1.04 648 5.7 93 1.10 0.64 0.33
day_30 23.30 71.30 64.7 3.22 90 0.20 1.45 1.14 1.04 650 5.7 93 1.10 0.64 0.33
